symbol,date,open,high,low,close,volume,Moving_Average,condition
GOOGL,2015-10-01,31.9,37.62,31.56,36.87,1005286000,28.624166666666667,0
GOOGL,2015-11-01,36.73,39.15,36.57,38.14,751482000,29.336666666666662,0
GOOGL,2015-12-01,38.35,39.93,36.81,38.9,872694000,30.261666666666667,0
GOOGL,2016-01-01,38.11,38.46,34.39,38.07,1039984000,31.218333333333334,0
GOOGL,2016-02-01,38.56,40.52,34.1,35.86,1352946000,32.205000000000005,0
GOOGL,2016-03-01,36.06,38.87,35.2,38.15,853314000,32.847500000000004,0
GOOGL,2016-04-01,37.86,39.55,35.16,35.39,933228000,33.69083333333333,0
GOOGL,2016-05-01,35.6,37.67,35.2,37.44,682046000,34.36333333333334,0
GOOGL,2016-06-01,37.42,37.57,33.63,35.18,839330000,35.195,0
GOOGL,2016-07-01,35.26,40.2,34.95,39.57,653244000,35.86833333333333,1
GOOGL,2016-08-01,39.33,40.69,39.25,39.49,577080000,36.405833333333334,0
GOOGL,2016-09-01,39.6,40.95,39.17,40.2,630896000,37.065000000000005,0
GOOGL,2016-10-01,40.13,41.95,39.81,40.49,707820000,37.75083333333333,0
GOOGL,2016-11-01,40.54,40.8,37.18,38.79,967068000,38.068333333333335,0
GOOGL,2016-12-01,38.93,41.22,37.67,39.62,687126000,38.11666666666667,0
GOOGL,2017-01-01,40.03,43.35,39.84,41.01,736654000,38.276666666666664,0
GOOGL,2017-02-01,41.2,42.69,40.6,42.25,529816000,38.49666666666666,0
GOOGL,2017-03-01,42.57,43.72,41.22,42.39,691002000,39.03916666666667,0
GOOGL,2017-04-01,42.44,46.79,41.73,46.23,574432000,39.420833333333334,0
GOOGL,2017-05-01,46.21,49.98,46.04,49.35,707186000,40.305,0
GOOGL,2017-06-01,49.55,50.43,46.48,46.48,881706000,41.31583333333333,0
GOOGL,2017-07-01,46.66,50.31,45.77,47.28,838172000,42.26583333333333,0
GOOGL,2017-08-01,47.39,47.86,45.93,47.76,656924000,42.9375,0
GOOGL,2017-09-01,47.87,48.79,46.23,48.69,592524000,43.626666666666665,0
GOOGL,2017-10-01,48.78,53.18,48.1,51.65,737076000,44.3475,0
GOOGL,2017-11-01,51.82,54.0,51.43,51.81,573720000,45.2875,0
GOOGL,2017-12-01,51.52,54.32,50.12,52.67,598810000,46.336666666666666,0
GOOGL,2018-01-01,52.65,59.9,52.65,59.11,657748000,47.38833333333334,0
GOOGL,2018-02-01,58.8,59.37,49.85,55.2,1026814000,48.855,0
GOOGL,2018-03-01,55.48,58.91,49.2,51.86,1042336000,49.93083333333333,0
GOOGL,2018-04-01,51.38,54.88,49.71,50.93,984928000,50.67583333333334,0
GOOGL,2018-05-01,50.81,55.91,50.39,55.0,740734000,51.05916666666666,1
GOOGL,2018-06-01,55.64,60.07,55.3,56.46,803684000,51.56666666666667,0
GOOGL,2018-07-01,55.77,64.57,55.33,61.36,835654000,52.32583333333334,0
GOOGL,2018-08-01,61.96,63.6,60.2,61.59,685718000,53.53999999999999,0
GOOGL,2018-09-01,61.13,61.39,57.58,60.35,718518000,54.645,0
GOOGL,2018-10-01,60.65,61.23,50.36,54.53,1130942000,55.634166666666665,0
GOOGL,2018-11-01,54.57,55.5,50.11,55.48,786236000,55.86333333333334,1
GOOGL,2018-12-01,56.61,56.75,48.88,52.25,857436000,56.287499999999994,0
GOOGL,2019-01-01,51.36,56.38,51.12,56.29,697168000,56.18,1
GOOGL,2019-02-01,56.11,57.7,54.68,56.33,652174000,55.95583333333334,0
GOOGL,2019-03-01,56.55,61.82,56.51,58.84,663738000,56.044999999999995,0
GOOGL,2019-04-01,59.38,64.85,59.15,59.95,647446000,56.711666666666666,0
GOOGL,2019-05-01,59.88,59.96,55.17,55.33,742726000,57.4675,0
GOOGL,2019-06-01,53.35,56.33,51.35,54.14,712452000,57.276666666666664,1
GOOGL,2019-07-01,55.05,63.42,54.77,60.91,715104000,57.21666666666667,1
GOOGL,2019-08-01,60.88,61.81,57.14,59.53,586310000,57.12666666666667,0
GOOGL,2019-09-01,59.09,62.4,58.19,61.06,517072000,56.95666666666667,0
GOOGL,2019-10-01,61.12,64.96,58.16,62.94,603634000,56.99583333333333,0
GOOGL,2019-11-01,63.29,66.7,62.99,65.2,528780000,57.722500000000004,0
GOOGL,2019-12-01,65.13,68.35,63.85,66.97,559106000,58.432500000000005,0
GOOGL,2020-01-01,67.42,75.03,67.32,71.64,673594000,59.770833333333336,0
GOOGL,2020-02-01,73.08,76.54,63.41,66.96,830656000,61.185,0
GOOGL,2020-03-01,67.57,70.41,50.44,58.1,1570716000,62.10333333333333,0
GOOGL,2020-04-01,56.2,68.01,53.75,67.33,1124224000,61.83833333333334,1
GOOGL,2020-05-01,66.2,72.26,64.8,71.68,725130000,62.365,0
GOOGL,2020-06-01,71.29,73.79,67.58,70.9,814160000,63.86000000000001,0
GOOGL,2020-07-01,70.96,79.35,70.71,74.4,822998000,65.18583333333332,0
GOOGL,2020-08-01,74.55,82.64,73.2,81.48,614564000,66.325,0
GOOGL,2020-09-01,81.61,86.31,70.11,73.28,836634000,68.20166666666667,0
GOOGL,2020-10-01,74.18,84.07,71.66,80.81,854920000,69.29,0
GOOGL,2020-11-01,81.18,90.84,80.61,87.72,631912000,70.78083333333333,0
GOOGL,2020-12-01,88.33,92.19,84.7,87.63,608630000,72.71416666666666,0
GOOGL,2021-01-01,88.0,96.6,84.81,91.37,791662000,74.42916666666666,0
GOOGL,2021-02-01,92.23,107.26,92.23,101.1,678324000,76.02499999999999,0
GOOGL,2021-03-01,102.4,105.69,99.7,103.13,756694000,78.9275,0
GOOGL,2021-04-01,104.61,121.57,104.57,117.68,702352000,82.96166666666666,0
GOOGL,2021-05-01,118.25,119.45,109.68,117.84,603480000,87.29916666666668,0
GOOGL,2021-06-01,118.72,123.1,116.48,122.09,544936000,91.25166666666667,0
GOOGL,2021-07-01,121.72,138.3,121.53,134.73,610808000,95.48166666666667,0
GOOGL,2021-08-01,135.12,145.97,133.32,144.7,461586000,100.52916666666665,0
GOOGL,2021-09-01,145.0,146.25,133.56,133.68,590840000,105.81166666666667,0
GOOGL,2021-10-01,134.45,148.65,131.05,148.05,720758000,110.83416666666666,0
GOOGL,2021-11-01,148.05,150.97,141.6,141.9,608378000,116.40666666666665,0
GOOGL,2021-12-01,144.0,149.1,139.32,144.85,619694000,121.04583333333333,0
GOOGL,2022-01-01,145.05,146.49,124.5,135.3,767206000,125.80000000000001,0
GOOGL,2022-02-01,137.59,151.55,124.95,135.06,928126000,129.58,0
GOOGL,2022-03-01,134.88,143.79,125.28,139.07,729162000,132.28666666666666,0
GOOGL,2022-04-01,139.5,143.71,112.74,114.11,761152000,135.19416666666666,0
GOOGL,2022-05-01,113.4,122.85,101.88,113.76,850450000,134.79,1
GOOGL,2022-06-01,114.86,119.35,105.05,108.96,770754000,134.46833333333333,1
GOOGL,2022-07-01,107.93,119.68,104.07,116.32,789529700,133.31916666666666,1
GOOGL,2022-08-01,115.3,122.43,107.8,108.22,515852700,131.66750000000002,1
GOOGL,2022-09-01,108.28,111.62,95.56,95.65,613278900,128.60750000000002,1
GOOGL,2022-10-01,96.76,104.82,91.8,94.51,681488300,125.46666666666668,1
GOOGL,2022-11-01,95.45,101.04,83.34,100.99,716522700,121.08333333333333,1
GOOGL,2022-12-01,101.02,102.25,85.94,88.23,603127800,117.50166666666668,1
GOOGL,2023-01-01,89.59,100.32,84.86,98.84,672897800,112.88,1
GOOGL,2023-02-01,98.71,108.18,88.58,90.06,952580200,109.64,1
GOOGL,2023-03-01,89.98,106.59,89.42,103.73,859933900,105.89833333333335,1
