symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_6_months,moving_average_window_months,condition,screening_rule
GOOG,-0.11847879083373952,0.13440265486725647,2009-12-01,14.65,15.59,14.43,15.44,1711202055,12.914285714285716,6,1,indicator < high
GOOG,-0.11160904822876659,0.12563055488830177,2010-01-01,15.62,15.68,13.09,13.2,3577378821,13.876666666666665,6,1,indicator < high
GOOG,0.046653796653796556,-0.044574239163848665,2010-02-01,13.32,13.64,12.95,13.12,2089173495,13.94142857142857,6,0,indicator < high
GOOG,0.0519184912204639,-0.0493560020607934,2010-03-01,13.18,14.65,13.14,14.13,3363548325,13.864285714285714,6,1,indicator < high
GOOG,-0.01582839741659128,0.016082964977898576,2010-04-01,14.23,14.89,12.98,13.09,2933394020,14.004761904761907,6,1,indicator < high
GOOG,0.04747375685590789,-0.045322144392815046,2010-05-01,13.11,13.27,11.46,12.1,3274676457,13.732380952380952,6,0,indicator < high
GOOG,0.09834109082229374,-0.08953602086276206,2010-06-01,11.97,12.68,11.08,11.08,2403503278,13.147142857142857,6,0,indicator < high
GOOG,0.12155953454420546,-0.10838437978560493,2010-07-01,11.09,12.39,10.8,12.08,2782791635,12.438095238095238,6,0,indicator < high
GOOG,0.0062553757135037705,-0.006216489237702985,2010-08-01,12.18,12.67,11.15,11.21,2122132569,12.256190476190476,6,1,indicator < high
GOOG,0.049048039339301505,-0.04675480769230772,2010-09-01,11.33,13.37,11.27,13.1,2396990959,11.885714285714286,6,1,indicator < high
GOOG,-0.08048340548340546,0.08752795323472867,2010-10-01,13.2,15.56,12.92,15.29,3185812619,12.137619047619047,6,1,indicator < high
GOOG,-0.1492829204693613,0.17547892720306538,2010-11-01,15.34,15.71,13.78,13.84,2346438185,13.049999999999997,6,1,indicator < high
GOOG,-0.03858433530330811,0.04013283402812116,2010-12-01,14.02,15.12,14.01,14.79,1697747812,13.47904761904762,6,1,indicator < high
GOOG,-0.054476703198102855,0.05761540025757465,2011-01-01,14.86,16.01,14.83,14.95,2408369449,14.050476190476191,6,1,indicator < high
GOOG,-0.03721621450705118,0.03865479982922266,2011-02-01,15.06,15.72,14.98,15.28,1681037411,14.49952380952381,6,1,indicator < high
GOOG,-0.0314675577833473,0.03248993674525593,2011-03-01,15.39,15.42,13.73,14.61,2414576630,14.905714285714286,6,1,indicator < high
GOOG,0.017053206002728513,-0.01676727028839705,2011-04-01,14.66,14.82,12.93,13.55,2820199328,14.91,6,0,indicator < high
GOOG,0.06983426188724186,-0.06527577623476995,2011-05-01,13.59,13.59,12.79,13.18,1819912003,14.539047619047617,6,0,indicator < high
GOOG,0.07419880499728397,-0.06907362459546916,2011-06-01,13.15,13.28,11.78,12.61,2373868616,14.125714285714285,6,0,indicator < high
GOOG,0.07784318164666815,-0.07222124978120074,2011-07-01,12.62,15.63,12.61,15.04,3254372638,13.602380952380951,6,1,indicator < high
GOOG,-0.08485076027782995,0.09271794871794875,2011-08-01,15.22,15.33,12.23,13.47,4287032849,13.928571428571429,6,1,indicator < high
GOOG,0.020574822356559448,-0.020160033253663,2011-09-01,13.47,13.91,12.71,12.83,2353978341,13.747142857142856,6,1,indicator < high
